date,pm25,pm10,no2
2018/8/27,,4,10
2018/8/28,,9,10
2018/8/29,,13,5
2018/8/30,,7,9
2018/8/31,,10,5
2018/9/1,,7,4
2018/9/2,,4,11
2018/9/3,,9,4
2018/9/4,,8,6
2018/9/5,,12,9
2018/9/6,,18,7
2018/9/7,,14,4
2018/9/8,,8,5
2018/9/9,,7,7
2018/9/10,,8,8
2018/9/11,,11,17
2018/9/12,,18,17
2018/9/13,,20,5
2018/9/14,,12,4
2018/9/15,,9,7
2018/9/16,,14,12
2018/9/17,,17,12
2018/9/18,,18,11
2018/9/19,,15,18
2018/9/20,,17,14
2018/9/21,,21,4
2018/9/22,,5,5
2018/9/23,,5,2
2018/9/24,,2,4
2018/9/25,,5,15
2018/9/26,,11,18
2018/9/27,,14,13
2018/9/28,,14,4
2018/9/29,,5,6
2018/9/30,,8,11
2018/4/1,,8,8
2018/4/2,,8,18
2018/4/3,,25,20
2018/4/4,,27,5
2018/4/5,,8,5
2018/4/6,,10,8
2018/4/7,,19,3
2018/4/8,,19,11
2018/4/9,,26,8
2018/4/10,,16,10
2018/4/11,,17,12
2018/4/12,,35,6
2018/4/13,,14,12
2018/4/14,,10,7
2018/4/15,,26,11
2018/4/16,,28,4
2018/4/17,,14,7
2018/4/18,,17,7
2018/4/19,,16,9
2018/4/20,,16,10
2018/4/21,,18,7
2018/4/22,,22,9
2018/4/23,,25,5
2018/4/24,,13,10
2018/4/25,,18,5
2018/4/26,,10,10
2018/4/27,,17,7
2018/4/28,,17,7
2018/4/29,,27,8
2018/4/30,,27,4
2018/5/1,,11,9
2018/5/2,,23,9
2018/5/3,,18,4
2018/5/4,,23,3
2018/5/5,,18,2
2018/5/6,,10,4
2018/5/7,,11,5
2018/5/8,,12,10
2018/5/9,,23,5
2018/5/10,,22,6
2018/5/11,,13,7
2018/5/12,,17,9
2018/5/13,,19,10
2018/5/14,,27,9
2018/5/15,,7,5
2018/5/16,,8,5
2018/5/17,,9,3
2018/5/18,,17,3
2018/5/19,,15,4
2018/5/20,,11,8
2018/5/21,,12,11
2018/5/22,,22,11
2018/5/23,,25,11
2018/5/24,,24,5
2018/5/25,,12,7
2018/5/26,,11,8
2018/5/27,,11,13
2018/5/28,,27,11
2018/5/29,,26,10
2018/5/30,,21,7
2018/5/31,,22,9
2018/6/1,,19,3
2018/6/2,,7,3
2018/6/3,,6,10
2018/6/4,,18,6
2018/6/5,,13,8
2018/6/6,,21,10
2018/6/7,,22,8
2018/6/8,,19,5
2018/6/9,,11,4
